	ref	object	trade	url
74	18038748	绥化学院玉米产业产教融合实训基地项目工程地勘服务(三次)竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038748.htm
75	18038834	某部民兵训练后勤饮食保障服务项目竞争性谈判公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038834.htm
76	18038844	北大荒集团红兴隆医院工会运动会奖品采购项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038844.htm
77	18038903	北大荒集团红兴隆医院工会运动会服装采购项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038903.htm
78	18038910	中国人民解放军某部制作油罐容积表和加装加油机项目谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038910.htm
79	18038918	安庆医药高等专科学校职工之家专用电缆、空调线路采购及安装项目竞争性谈判公告	货物/通用设备/电气设备/绝缘电线和电缆	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038918.htm
80	18038973	厦门万翔-竞争性谈判-XM2022-TZ5098厦门市翔安区珩厝小学球场改造采购公告	工程/其他建筑工程	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038973.htm
81	18038993	北大荒集团红兴隆医院工会运动会外包服务项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038993.htm
82	18039077	上街学区幼儿园功能室教学设备采购货物类采购项目采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039077.htm
83	18039093	永吉县人民检察院移动办公平台租用及数据流量采购项目竞争性谈判公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039093.htm
84	18039136	某部库房综合整治项目竞争性谈判公告	工程/建筑物施工/仓储用房施工	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039136.htm
85	18039184	北大荒集团红兴隆医院第三方检验外包采购项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039184.htm
86	18039238	眉山市疾控中心机房建设采购竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039238.htm
87	18039295	广元市中心医院行政楼一层大厅整改项目竞争性谈判公告	工程/其他建筑工程	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039295.htm
88	18039307	某部柴油采购项目竞争性谈判公告	货物/炼焦产品、炼油产品/石油制品/柴油	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039307.htm
89	18039312	某部围墙修建项目竞争性谈判公告	工程/建筑物施工/其他建筑物施工	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039312.htm
90	18039342	北大荒集团红兴隆医院电离环境设备测评采购项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039342.htm
91	18039398	榆林市信访局联合接待中心维修改造项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039398.htm
92	18039413	广州市老人院适老化家具采购项目（CJ2022-3001）竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039413.htm
93	18039415	天津完达山乳品有限公司2018年液态奶改造升级项目—钢制托盘采购项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039415.htm
94	18039421	南充市妇幼保健计划生育服务中心彩色多普勒超声诊断仪采购项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039421.htm
